tfidf_text_extraction_fns,tfidf_threshold,tfidf_uncertain_threshold,d2v_text_extraction_fn,d2v_threshold,d2v_vector_size,d2v_min_count,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
header,0.4,0.30000000000000004,content,0.30000000000000004,50.0,10.0,49,37,93,0.569767441860465,0.34507042253521103,0.42982456140350805,0.170138888888888,0.5041152263374485
header,0.4,0.30000000000000004,content,0.30000000000000004,50.0,5.0,48,36,94,0.5714285714285711,0.338028169014084,0.424778761061946,0.167247386759581,0.502092050209205
header,0.4,0.30000000000000004,content,0.5,50.0,5.0,44,34,98,0.5641025641025641,0.309859154929577,0.4,0.15438596491228002,0.4845814977973568
header,0.4,0.30000000000000004,content,0.30000000000000004,100.0,10.0,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.16666666666666602,0.4979253112033195
header,0.4,0.30000000000000004,content,0.5,50.0,1.0,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.16666666666666602,0.4979253112033195
header,0.4,0.30000000000000004,content,0.30000000000000004,100.0,5.0,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.16666666666666602,0.4979253112033195
header,0.4,0.30000000000000004,content,0.30000000000000004,50.0,1.0,50,37,92,0.57471264367816,0.352112676056338,0.43668122270742304,0.17361111111111102,0.5102040816326531
header,0.4,0.30000000000000004,content,0.30000000000000004,100.0,1.0,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.16666666666666602,0.4979253112033195
header,0.4,0.30000000000000004,content,0.5,50.0,10.0,43,36,99,0.544303797468354,0.30281690140845,0.389140271493212,0.149825783972125,0.46943231441048033
header,0.4,0.5,content,0.30000000000000004,50.0,10.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.30000000000000004,content,0.5,100.0,5.0,44,34,98,0.5641025641025641,0.309859154929577,0.4,0.15438596491228002,0.4845814977973568
header,0.4,0.5,content,0.30000000000000004,50.0,5.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.4,0.30000000000000004,content,0.5,100.0,10.0,41,33,101,0.5540540540540541,0.288732394366197,0.37962962962962904,0.144366197183098,0.4680365296803653
header,0.4,0.5,content,0.30000000000000004,50.0,1.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.30000000000000004,content,0.5,100.0,1.0,46,34,96,0.5750000000000001,0.323943661971831,0.414414414414414,0.16140350877192902,0.49783549783549785
header,0.4,0.5,content,0.30000000000000004,100.0,1.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.5,content,0.30000000000000004,100.0,5.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.4,0.5,content,0.5,50.0,10.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.5,content,0.5,50.0,5.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.5,content,0.30000000000000004,100.0,10.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.4,0.5,content,0.5,50.0,1.0,37,33,105,0.528571428571428,0.26056338028169,0.34905660377358405,0.130281690140845,0.43838862559241704
header,0.4,0.5,content,0.5,100.0,5.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.4,0.5,content,0.5,100.0,1.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.4,0.5,content,0.5,100.0,10.0,37,32,105,0.5362318840579711,0.26056338028169,0.35071090047393305,0.130742049469964,0.44258373205741625
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,10.0,42,14,100,0.75,0.29577464788732305,0.42424242424242403,0.139072847682119,0.5737704918032787
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,5.0,42,16,100,0.7241379310344821,0.29577464788732305,0.42,0.138157894736842,0.5614973262032086
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,1.0,43,20,99,0.682539682539682,0.30281690140845,0.41951219512195104,0.13961038961038902,0.5456852791878173
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,5.0,41,19,101,0.683333333333333,0.288732394366197,0.405940594059405,0.133550488599348,0.5366492146596858
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,10.0,42,15,100,0.7368421052631571,0.29577464788732305,0.42211055276381904,0.13861386138613802,0.5675675675675675
header,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,1.0,44,16,98,0.7333333333333331,0.309859154929577,0.43564356435643503,0.14473684210526302,0.5759162303664922
header,0.6000000000000001,0.30000000000000004,content,0.5,50.0,1.0,40,17,102,0.701754385964912,0.28169014084507005,0.402010050251256,0.131147540983606,0.5405405405405406
header,0.6000000000000001,0.30000000000000004,content,0.5,50.0,5.0,34,13,108,0.7234042553191491,0.239436619718309,0.35978835978835905,0.112956810631229,0.5151515151515151
header,0.6000000000000001,0.30000000000000004,content,0.5,50.0,10.0,36,12,106,0.75,0.25352112676056304,0.37894736842105203,0.12,0.5389221556886228
header,0.6000000000000001,0.30000000000000004,content,0.5,100.0,5.0,30,11,112,0.73170731707317,0.211267605633802,0.32786885245901604,0.10033444816053501,0.49019607843137253
header,0.6000000000000001,0.30000000000000004,content,0.5,100.0,1.0,36,12,106,0.75,0.25352112676056304,0.37894736842105203,0.12,0.5389221556886228
header,0.6000000000000001,0.30000000000000004,content,0.5,100.0,10.0,27,10,115,0.729729729729729,0.190140845070422,0.301675977653631,0.09060402684563701,0.46551724137931033
header,0.6000000000000001,0.5,content,0.30000000000000004,50.0,10.0,28,10,114,0.7368421052631571,0.197183098591549,0.311111111111111,0.09395973154362401,0.47619047619047616
header,0.6000000000000001,0.5,content,0.30000000000000004,50.0,1.0,26,11,116,0.7027027027027021,0.183098591549295,0.290502793296089,0.08695652173913,0.4482758620689655
header,0.6000000000000001,0.5,content,0.30000000000000004,50.0,5.0,27,11,115,0.710526315789473,0.190140845070422,0.30000000000000004,0.090301003344481,0.45918367346938777
header,0.6000000000000001,0.5,content,0.30000000000000004,100.0,1.0,26,10,116,0.7222222222222221,0.183098591549295,0.29213483146067404,0.087248322147651,0.45454545454545453
header,0.6000000000000001,0.5,content,0.30000000000000004,100.0,5.0,27,10,115,0.729729729729729,0.190140845070422,0.301675977653631,0.09060402684563701,0.46551724137931033
header,0.6000000000000001,0.5,content,0.30000000000000004,100.0,10.0,27,11,115,0.710526315789473,0.190140845070422,0.30000000000000004,0.090301003344481,0.45918367346938777
header,0.6000000000000001,0.5,content,0.5,50.0,5.0,25,11,117,0.6944444444444441,0.176056338028169,0.280898876404494,0.083612040133779,0.4370629370629371
header,0.6000000000000001,0.5,content,0.5,50.0,10.0,25,10,117,0.7142857142857141,0.176056338028169,0.28248587570621403,0.083892617449664,0.4432624113475177
header,0.6000000000000001,0.5,content,0.5,50.0,1.0,25,10,117,0.7142857142857141,0.176056338028169,0.28248587570621403,0.083892617449664,0.4432624113475177
header,0.6000000000000001,0.5,content,0.5,100.0,5.0,23,10,119,0.696969696969697,0.161971830985915,0.262857142857142,0.07718120805369101,0.4197080291970803
header,0.6000000000000001,0.5,content,0.5,100.0,1.0,24,10,118,0.7058823529411761,0.169014084507042,0.27272727272727204,0.080536912751677,0.4316546762589928
header,0.6000000000000001,0.5,content,0.5,100.0,10.0,22,10,120,0.6875,0.154929577464788,0.25287356321839,0.07382550335570401,0.4074074074074074
content,0.4,0.30000000000000004,content,0.30000000000000004,50.0,10.0,83,149,59,0.357758620689655,0.584507042253521,0.44385026737967903,0.25937499999999997,0.3878504672897196
content,0.4,0.30000000000000004,content,0.30000000000000004,50.0,5.0,84,151,58,0.35744680851063804,0.5915492957746471,0.44562334217506605,0.260869565217391,0.38817005545286504
content,0.4,0.30000000000000004,content,0.30000000000000004,50.0,1.0,86,148,56,0.36752136752136705,0.605633802816901,0.457446808510638,0.269592476489028,0.39888682745825604
content,0.4,0.30000000000000004,content,0.30000000000000004,100.0,5.0,85,150,57,0.36170212765957405,0.5985915492957741,0.45092838196286406,0.264797507788161,0.3927911275415896
content,0.4,0.30000000000000004,content,0.30000000000000004,100.0,1.0,84,154,58,0.35294117647058804,0.5915492957746471,0.44210526315789406,0.258461538461538,0.38391224862888484
content,0.4,0.30000000000000004,content,0.30000000000000004,100.0,10.0,81,143,61,0.361607142857142,0.5704225352112671,0.442622950819672,0.25796178343949,0.3901734104046243
content,0.4,0.30000000000000004,content,0.5,50.0,1.0,84,122,58,0.407766990291262,0.5915492957746471,0.482758620689655,0.286689419795221,0.43478260869565216
content,0.4,0.30000000000000004,content,0.5,50.0,5.0,79,107,63,0.42473118279569805,0.556338028169014,0.48170731707317005,0.284172661870503,0.445823927765237
content,0.4,0.30000000000000004,content,0.5,50.0,10.0,73,104,69,0.41242937853107303,0.5140845070422531,0.45768025078369906,0.265454545454545,0.4294117647058823
content,0.4,0.30000000000000004,content,0.5,100.0,5.0,69,89,73,0.43670886075949306,0.48591549295774605,0.46,0.265384615384615,0.44573643410852715
content,0.4,0.30000000000000004,content,0.5,100.0,1.0,74,102,68,0.420454545454545,0.52112676056338,0.46540880503144605,0.27106227106227104,0.4373522458628842
content,0.4,0.30000000000000004,content,0.5,100.0,10.0,68,88,74,0.435897435897435,0.478873239436619,0.45637583892617406,0.262548262548262,0.44386422976501305
content,0.4,0.5,content,0.30000000000000004,50.0,5.0,78,111,64,0.412698412698412,0.549295774647887,0.47129909365558903,0.276595744680851,0.43429844097995546
content,0.4,0.5,content,0.30000000000000004,50.0,1.0,79,111,63,0.41578947368421004,0.556338028169014,0.475903614457831,0.280141843971631,0.4379157427937916
content,0.4,0.5,content,0.30000000000000004,50.0,10.0,78,118,64,0.39795918367346905,0.549295774647887,0.461538461538461,0.26989619377162605,0.42116630669546434
content,0.4,0.5,content,0.30000000000000004,100.0,5.0,77,113,65,0.40526315789473605,0.5422535211267601,0.46385542168674704,0.27112676056338003,0.4268292682926829
content,0.4,0.5,content,0.30000000000000004,100.0,1.0,78,119,64,0.39593908629441604,0.549295774647887,0.460176991150442,0.268965517241379,0.41935483870967744
content,0.4,0.5,content,0.30000000000000004,100.0,10.0,77,111,65,0.40957446808510606,0.5422535211267601,0.46666666666666606,0.27304964539007004,0.4306487695749441
content,0.4,0.5,content,0.5,50.0,5.0,75,101,67,0.42613636363636304,0.528169014084507,0.471698113207547,0.275735294117647,0.4432624113475177
content,0.4,0.5,content,0.5,50.0,1.0,76,106,66,0.41758241758241704,0.5352112676056331,0.46913580246913505,0.27436823104693103,0.4367816091954023
content,0.4,0.5,content,0.5,50.0,10.0,71,97,71,0.422619047619047,0.5,0.45806451612903204,0.264925373134328,0.43611793611793614
content,0.4,0.5,content,0.5,100.0,1.0,73,92,69,0.44242424242424205,0.5140845070422531,0.47557003257328906,0.277566539923954,0.4551122194513716
content,0.4,0.5,content,0.5,100.0,5.0,67,89,75,0.429487179487179,0.47183098591549205,0.449664429530201,0.257692307692307,0.43733681462140994
content,0.4,0.5,content,0.5,100.0,10.0,65,87,77,0.42763157894736803,0.45774647887323905,0.44217687074829903,0.25193798449612403,0.43333333333333335
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,10.0,71,105,71,0.40340909090909005,0.5,0.44654088050314406,0.206997084548104,0.41962174940898345
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,5.0,77,108,65,0.416216216216216,0.5422535211267601,0.47094801223241506,0.222543352601156,0.4365079365079365
