preprocessing,attributes,threshold,iterative,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
lemmatize,"['header', 'concept subject', 'concept name']",0.2,0.0,52,93,90,0.358620689655172,0.366197183098591,0.36236933797909404,0.19475655430711603,0.3601108033240997
lemmatize,"['header', 'concept subject', 'concept name']",0.4,0.0,45,48,97,0.48387096774193505,0.316901408450704,0.38297872340425504,0.164233576642335,0.4377431906614786
lemmatize,"['header', 'concept subject', 'concept name']",0.6000000000000001,0.0,22,12,120,0.647058823529411,0.154929577464788,0.25,0.074074074074074,0.39568345323741005
lemmatize,"['header', 'concept subject', 'concept name']",0.8,0.0,6,2,136,0.75,0.04225352112676,0.08,0.019169329073482,0.1724137931034483
lemmatize,"['header', 'concept subject', 'concept definitions']",0.2,0.0,50,83,92,0.37593984962406,0.352112676056338,0.36363636363636304,0.18587360594795502,0.37091988130563797
lemmatize,"['header', 'concept subject', 'concept definitions']",0.4,0.0,48,55,94,0.46601941747572806,0.338028169014084,0.39183673469387703,0.17712177121771203,0.4332129963898917
lemmatize,"['header', 'concept subject', 'concept definitions']",0.6000000000000001,0.0,27,18,115,0.6000000000000001,0.190140845070422,0.28877005347593504,0.092465753424657,0.4192546583850932
lemmatize,"['header', 'concept subject', 'concept definitions']",0.8,0.0,6,5,136,0.5454545454545451,0.04225352112676,0.07843137254901901,0.019169329073482,0.16129032258064516
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.2,0.0,60,87,82,0.408163265306122,0.422535211267605,0.41522491349480906,0.23166023166023103,0.410958904109589
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.4,0.0,52,50,90,0.5098039215686271,0.366197183098591,0.426229508196721,0.19475655430711603,0.4727272727272727
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.8,0.0,6,1,136,0.8571428571428571,0.04225352112676,0.080536912751677,0.019169329073482,0.17647058823529413
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.6000000000000001,0.0,28,12,114,0.7000000000000001,0.197183098591549,0.30769230769230704,0.096219931271477,0.46357615894039733
lemmatize,"['concept definitions', 'concept subject', 'concept name']",0.4,0.0,27,60,115,0.310344827586206,0.190140845070422,0.235807860262008,0.092465753424657,0.2755102040816326
lemmatize,"['concept definitions', 'concept subject', 'concept name']",0.2,0.0,28,76,114,0.269230769230769,0.197183098591549,0.22764227642276402,0.096219931271477,0.25089605734767023
lemmatize,"['concept definitions', 'concept subject', 'concept name']",0.6000000000000001,0.0,18,18,124,0.5,0.12676056338028102,0.202247191011235,0.059800664451827,0.3146853146853147
lemmatize,"['concept definitions', 'concept subject', 'concept name']",0.8,0.0,3,2,139,0.6000000000000001,0.02112676056338,0.040816326530612006,0.009493670886075,0.09259259259259259
lemmatize,"['header', 'concept name', 'concept definitions', 'concept subject']",0.2,0.0,51,96,91,0.346938775510204,0.35915492957746403,0.35294117647058804,0.190298507462686,0.3493150684931507
lemmatize,"['header', 'concept name', 'concept definitions', 'concept subject']",0.6000000000000001,0.0,27,16,115,0.627906976744186,0.190140845070422,0.291891891891891,0.092465753424657,0.4299363057324841
lemmatize,"['header', 'concept name', 'concept definitions', 'concept subject']",0.4,0.0,49,54,93,0.47572815533980506,0.34507042253521103,0.4,0.18148148148148102,0.44223826714801445
lemmatize,"['header', 'concept name', 'concept definitions', 'concept subject']",0.8,0.0,10,3,132,0.769230769230769,0.07042253521126701,0.12903225806451601,0.032362459546925,0.25773195876288657
,"['header', 'concept subject', 'concept definitions']",0.4,True,45,59,97,0.43269230769230704,0.316901408450704,0.365853658536585,0.164233576642335,0.4032258064516129
,"['header', 'concept name', 'concept definitions']",0.2,True,63,82,79,0.434482758620689,0.44366197183098505,0.43902439024390205,0.24609375,0.4362880886426593
,"['header', 'concept name', 'concept definitions']",0.4,True,51,44,91,0.536842105263157,0.35915492957746403,0.43037974683544306,0.190298507462686,0.4885057471264368
,"['header', 'concept subject', 'concept definitions']",0.2,True,50,82,92,0.378787878787878,0.352112676056338,0.36496350364963503,0.18587360594795502,0.373134328358209
,"['header', 'concept name', 'concept definitions']",0.6000000000000001,True,29,8,113,0.7837837837837831,0.204225352112676,0.324022346368715,0.1,0.5
,['content'],0.2,True,66,91,76,0.42038216560509506,0.464788732394366,0.44147157190635405,0.260869565217391,0.42857142857142855
,['content'],0.6000000000000001,True,48,33,94,0.592592592592592,0.338028169014084,0.43049327354260003,0.17712177121771203,0.5150214592274678
,['content'],0.4,True,63,85,79,0.42567567567567505,0.44366197183098505,0.434482758620689,0.24609375,0.42915531335149865
,"['header', 'concept subject', 'concept definitions']",0.6000000000000001,True,29,21,113,0.58,0.204225352112676,0.30208333333333304,0.1,0.4239766081871345
,"['header', 'concept subject', 'concept name']",0.4,True,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.17712177121771203,0.4979253112033195
,"['header', 'concept subject', 'concept name']",0.2,True,64,79,78,0.44755244755244705,0.450704225352112,0.44912280701754304,0.250980392156862,0.4481792717086835
,"['header', 'concept subject', 'concept name']",0.6000000000000001,True,19,5,123,0.7916666666666661,0.13380281690140802,0.228915662650602,0.063333333333333,0.39915966386554624
,"['concept definitions', 'concept subject', 'concept name']",0.4,True,30,62,112,0.326086956521739,0.211267605633802,0.256410256410256,0.10380622837370201,0.29411764705882354
,"['concept definitions', 'concept subject', 'concept name']",0.2,True,31,73,111,0.298076923076923,0.218309859154929,0.252032520325203,0.107638888888888,0.2777777777777778
,"['concept definitions', 'concept subject', 'concept name']",0.6000000000000001,True,22,17,120,0.5641025641025641,0.154929577464788,0.24309392265193303,0.074074074074074,0.3691275167785235
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.2,True,60,87,82,0.408163265306122,0.422535211267605,0.41522491349480906,0.23166023166023103,0.410958904109589
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.6000000000000001,True,28,12,114,0.7000000000000001,0.197183098591549,0.30769230769230704,0.096219931271477,0.46357615894039733
,"['header', 'concept name', 'concept definitions', 'concept subject']",0.4,True,52,50,90,0.5098039215686271,0.366197183098591,0.426229508196721,0.19475655430711603,0.4727272727272727
