attributes,threshold,vector_size,min_count,iterative,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
['content'],0.2,50.0,1.0,0.0,61,113,81,0.350574712643678,0.42957746478873204,0.38607594936708806,0.236434108527131,0.3639618138424821
['content'],0.2,50.0,5.0,0.0,60,116,82,0.34090909090909005,0.422535211267605,0.37735849056603704,0.23166023166023103,0.3546099290780142
['content'],0.2,50.0,20.0,0.0,59,117,83,0.33522727272727204,0.41549295774647804,0.371069182389937,0.226923076923076,0.3486997635933806
['content'],0.2,50.0,10.0,0.0,62,115,80,0.35028248587570604,0.436619718309859,0.38871473354231906,0.24124513618677002,0.36470588235294116
['content'],0.2,50.0,50.0,0.0,60,116,82,0.34090909090909005,0.422535211267605,0.37735849056603704,0.23166023166023103,0.3546099290780142
['content'],0.2,100.0,10.0,0.0,56,114,86,0.329411764705882,0.394366197183098,0.35897435897435903,0.21292775665399202,0.340632603406326
['content'],0.2,100.0,5.0,0.0,65,103,77,0.38690476190476103,0.45774647887323905,0.41935483870967705,0.255905511811023,0.39926289926289926
['content'],0.2,100.0,20.0,0.0,60,109,82,0.35502958579881605,0.422535211267605,0.38585209003215404,0.23166023166023103,0.36674816625916873
['content'],0.2,100.0,1.0,0.0,62,108,80,0.36470588235294105,0.436619718309859,0.397435897435897,0.24124513618677002,0.3771289537712895
['content'],0.2,100.0,50.0,0.0,61,108,81,0.36094674556213,0.42957746478873204,0.39228295819935605,0.236434108527131,0.37286063569682154
['content'],0.2,200.0,10.0,0.0,61,98,81,0.38364779874213806,0.42957746478873204,0.40531561461794,0.236434108527131,0.39203084832904883
['content'],0.2,200.0,5.0,0.0,65,96,77,0.40372670807453404,0.45774647887323905,0.429042904290429,0.255905511811023,0.41348600508905853
['content'],0.2,200.0,1.0,0.0,64,99,78,0.392638036809815,0.450704225352112,0.41967213114754104,0.250980392156862,0.40302267002518893
['content'],0.2,200.0,50.0,0.0,60,85,82,0.413793103448275,0.422535211267605,0.41811846689895404,0.23166023166023103,0.4155124653739612
['content'],0.2,200.0,20.0,0.0,61,92,81,0.39869281045751603,0.42957746478873204,0.41355932203389806,0.236434108527131,0.40450928381962864
['content'],0.2,300.0,10.0,0.0,61,95,81,0.391025641025641,0.42957746478873204,0.40939597315436205,0.236434108527131,0.3981723237597911
['content'],0.2,300.0,5.0,0.0,62,96,80,0.39240506329113906,0.436619718309859,0.41333333333333305,0.24124513618677002,0.4005167958656331
['content'],0.2,300.0,20.0,0.0,62,93,80,0.4,0.436619718309859,0.41750841750841705,0.24124513618677002,0.4068241469816273
['content'],0.2,300.0,1.0,0.0,65,94,77,0.40880503144654,0.45774647887323905,0.431893687707641,0.255905511811023,0.41773778920308485
['content'],0.2,300.0,50.0,0.0,60,85,82,0.413793103448275,0.422535211267605,0.41811846689895404,0.23166023166023103,0.4155124653739612
['content'],0.4,50.0,5.0,0.0,59,73,83,0.446969696969696,0.41549295774647804,0.43065693430656904,0.226923076923076,0.44029850746268656
['content'],0.4,50.0,1.0,0.0,64,89,78,0.41830065359477103,0.450704225352112,0.43389830508474503,0.250980392156862,0.4244031830238727
['content'],0.4,50.0,10.0,0.0,54,72,88,0.42857142857142805,0.380281690140845,0.40298507462686506,0.20377358490566003,0.4179566563467492
['content'],0.4,50.0,20.0,0.0,52,54,90,0.49056603773584906,0.366197183098591,0.41935483870967705,0.19475655430711603,0.45936395759717313
['content'],0.4,50.0,50.0,0.0,43,57,99,0.43,0.30281690140845,0.35537190082644604,0.155797101449275,0.3966789667896679
['content'],0.4,100.0,1.0,0.0,60,69,82,0.46511627906976705,0.422535211267605,0.44280442804428005,0.23166023166023103,0.45592705167173253
['content'],0.4,100.0,10.0,0.0,39,30,103,0.565217391304347,0.274647887323943,0.369668246445497,0.139285714285714,0.4665071770334928
['content'],0.4,100.0,50.0,0.0,31,13,111,0.704545454545454,0.218309859154929,0.33333333333333304,0.107638888888888,0.48742138364779874
['content'],0.4,100.0,20.0,0.0,34,28,108,0.5483870967741931,0.239436619718309,0.33333333333333304,0.11929824561403501,0.4358974358974359
['content'],0.4,100.0,5.0,0.0,50,39,92,0.561797752808988,0.352112676056338,0.432900432900432,0.18587360594795502,0.5020080321285141
['content'],0.4,200.0,10.0,0.0,26,8,116,0.764705882352941,0.183098591549295,0.295454545454545,0.08873720136518701,0.4676258992805755
['content'],0.4,200.0,5.0,0.0,30,15,112,0.6666666666666661,0.211267605633802,0.32085561497326204,0.10380622837370201,0.4658385093167702
['content'],0.4,200.0,1.0,0.0,53,50,89,0.514563106796116,0.37323943661971803,0.43265306122448904,0.199248120300751,0.47833935018050544
['content'],0.4,200.0,20.0,0.0,17,5,125,0.772727272727272,0.119718309859154,0.207317073170731,0.056291390728476005,0.3695652173913043
['content'],0.4,200.0,50.0,0.0,9,2,133,0.818181818181818,0.06338028169014001,0.11764705882352901,0.029032258064516002,0.24193548387096775
['content'],0.4,300.0,10.0,0.0,20,8,122,0.7142857142857141,0.14084507042253502,0.23529411764705802,0.066889632107023,0.3937007874015748
['content'],0.4,300.0,5.0,0.0,31,14,111,0.6888888888888881,0.218309859154929,0.33155080213903704,0.107638888888888,0.4813664596273292
['content'],0.5,50.0,5.0,0.0,40,34,102,0.54054054054054,0.28169014084507005,0.37037037037037,0.14336917562724,0.45662100456621
['content'],0.4,300.0,50.0,0.0,8,2,134,0.8,0.056338028169014,0.105263157894736,0.02572347266881,0.21978021978021978
