attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[1, 1, 1, 1, 1]",[40],37,61,105,0.377551020408163,0.26056338028169,0.308333333333333,0.13120567375886502,0.3464419475655431
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[1, 1, 1, 1, 1]",[60],39,54,103,0.41935483870967705,0.274647887323943,0.33191489361702103,0.139285714285714,0.37937743190661477
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[1, 1, 1, 1, 1]",[80],39,52,103,0.42857142857142805,0.274647887323943,0.334763948497854,0.139285714285714,0.38537549407114624
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[1, 1, 1, 1, 1]",[100],41,51,101,0.445652173913043,0.288732394366197,0.35042735042735,0.147482014388489,0.4019607843137255
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[2, 1, 1, 1, 1]",[40],24,80,118,0.23076923076923,0.169014084507042,0.195121951219512,0.081355932203389,0.21505376344086022
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[1, 1, 1, 1, 1]",[120],42,50,100,0.45652173913043403,0.29577464788732305,0.35897435897435903,0.151624548736462,0.4117647058823529
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[2, 1, 1, 1, 1]",[60],23,80,119,0.22330097087378603,0.161971830985915,0.18775510204081602,0.077702702702702,0.2075812274368231
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[2, 1, 1, 1, 1]",[80],24,74,118,0.24489795918367302,0.169014084507042,0.2,0.081355932203389,0.2247191011235955
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[2, 1, 1, 1, 1]",[100],26,66,116,0.282608695652173,0.183098591549295,0.22222222222222202,0.08873720136518701,0.2549019607843137
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[2, 1, 1, 1, 1]",[120],28,61,114,0.31460674157303303,0.197183098591549,0.24242424242424201,0.096219931271477,0.28112449799196787
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[3, 1, 1, 1, 1]",[80],11,105,131,0.094827586206896,0.077464788732394,0.085271317829457,0.035714285714285005,0.09075907590759076
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[3, 1, 1, 1, 1]",[100],12,95,130,0.11214953271028001,0.084507042253521,0.09638554216867401,0.039087947882736,0.10526315789473684
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[3, 1, 1, 1, 1]",[40],14,111,128,0.112,0.098591549295774,0.104868913857677,0.045901639344262,0.10903426791277258
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[3, 1, 1, 1, 1]",[120],14,89,128,0.135922330097087,0.098591549295774,0.114285714285714,0.045901639344262,0.1263537906137184
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[3, 1, 1, 1, 1]",[60],10,119,132,0.077519379844961,0.07042253521126701,0.07380073800738,0.032362459546925,0.07598784194528875
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[4, 1, 1, 1, 1]",[40],10,110,132,0.08333333333333301,0.07042253521126701,0.076335877862595,0.032362459546925,0.08038585209003216
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[4, 1, 1, 1, 1]",[60],7,120,135,0.05511811023622001,0.049295774647887,0.052044609665427004,0.022435897435897002,0.05384615384615385
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[4, 1, 1, 1, 1]",[80],8,106,134,0.070175438596491,0.056338028169014,0.0625,0.02572347266881,0.06688963210702341
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[5, 1, 1, 1, 1]",[40],7,110,135,0.059829059829059006,0.049295774647887,0.054054054054054,0.022435897435897002,0.05737704918032787
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[4, 1, 1, 1, 1]",[100],10,95,132,0.09523809523809501,0.07042253521126701,0.08097165991902801,0.032362459546925,0.08896797153024912
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[4, 1, 1, 1, 1]",[120],10,87,132,0.10309278350515401,0.07042253521126701,0.0836820083682,0.032362459546925,0.09433962264150944
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[5, 1, 1, 1, 1]",[60],5,120,137,0.04,0.035211267605633,0.037453183520599,0.01592356687898,0.03894080996884735
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[5, 1, 1, 1, 1]",[80],6,106,136,0.053571428571428006,0.04225352112676,0.047244094488188004,0.019169329073482,0.05084745762711865
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[5, 1, 1, 1, 1]",[120],6,86,136,0.065217391304347,0.04225352112676,0.051282051282051,0.019169329073482,0.058823529411764705
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[6, 1, 1, 1, 1]",[40],7,110,135,0.059829059829059006,0.049295774647887,0.054054054054054,0.022435897435897002,0.05737704918032787
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[5, 1, 1, 1, 1]",[100],6,95,136,0.05940594059405901,0.04225352112676,0.049382716049382006,0.019169329073482,0.054945054945054944
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[6, 1, 1, 1, 1]",[60],5,120,137,0.04,0.035211267605633,0.037453183520599,0.01592356687898,0.03894080996884735
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[6, 1, 1, 1, 1]",[80],6,106,136,0.053571428571428006,0.04225352112676,0.047244094488188004,0.019169329073482,0.05084745762711865
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[6, 1, 1, 1, 1]",[100],6,95,136,0.05940594059405901,0.04225352112676,0.049382716049382006,0.019169329073482,0.054945054945054944
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.4,"[6, 1, 1, 1, 1]",[120],6,86,136,0.065217391304347,0.04225352112676,0.051282051282051,0.019169329073482,0.058823529411764705
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[1, 1, 1, 1, 1]",[60],11,8,131,0.5789473684210521,0.077464788732394,0.136645962732919,0.035714285714285005,0.25229357798165136
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[1, 1, 1, 1, 1]",[80],11,8,131,0.5789473684210521,0.077464788732394,0.136645962732919,0.035714285714285005,0.25229357798165136
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[1, 1, 1, 1, 1]",[40],11,8,131,0.5789473684210521,0.077464788732394,0.136645962732919,0.035714285714285005,0.25229357798165136
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[1, 1, 1, 1, 1]",[100],11,6,131,0.647058823529411,0.077464788732394,0.138364779874213,0.035714285714285005,0.2619047619047619
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[2, 1, 1, 1, 1]",[40],6,20,136,0.23076923076923,0.04225352112676,0.07142857142857101,0.019169329073482,0.12195121951219512
